,Ticker,Company Name,Country,Sector,Subsector,Environmental SCORE,Social SCORE,Governance SCORE,Assets,"Cash and Cash Equivalents, at Carrying Value",Final Revenue,Gross Profit,Income from Continuing Operations before Taxes,Operating Income (Loss),Total Equity,Total Liabilities and Equity,Net Income (Loss),"Cash and Cash Equivalents, Period Increase (Decrease)",Target
117,CA,"CA, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,5.6,2.1,5.9,"11,204,000,000","2,812,000,000","1,009,000,000",,"264,000,000","279,000,000","5,378,000,000","11,204,000,000","174,000,000",,0
118,CVGW,"CALAVO GROWERS, INC",US,Food Products,Packaged Foods & Meats,0.9,5.2,4.3,"291,774,000","8,188,000","220,303,000","26,807,000","26,807,000","15,149,000",,"291,774,000","9,689,000",,0
119,CALM,"CAL-MAINE FOODS, INC",US,Food Products,Packaged Foods & Meats,3.3,4.8,3.7,"1,124,232,000","8,139,000","449,760,000","132,726,000","132,726,000","85,771,000","913,996,000","1,124,232,000","64,164,000",,0
120,CLMT,"CALUMET SPECIALTY PRODUCTS PARTNERS, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,2.0,5.8,4.6,"2,998,600,000","7,200,000",,"86,200,000","-67,500,000","-18,800,000","478,500,000","2,998,600,000",,"1,600,000",0
121,CAC,CAMDEN NATIONAL CORPORATION,US,Banks,Regional Banks,1.9,3.9,5.6,"3,762,546,000","72,201,000",,,"12,088,000",,"375,458,000","3,762,546,000","8,646,000","-7,287,000",1
122,CCBG,"CAPITAL CITY BANK GROUP, INC",US,Banks,Regional Banks,1.7,3.4,4.7,"2,792,186,000",,,,"2,505,000",,"276,833,000","2,792,186,000","1,647,000","-28,083,000",0
123,CFFN,"CAPITOL FEDERAL FINANCIAL, INC",US,Banks,Thrifts & Mortgage Finance,3.5,4.1,3.7,"9,316,684,000","203,811,000",,,"31,738,000",,"1,403,408,000","9,316,684,000","21,527,000",,0
124,CARA,Cara Therapeutics Inc,US,Pharmaceuticals,Pharmaceuticals,6.3,5.3,6.7,"102,013,000","7,922,000","7,000",,,"-10,986,000","94,927,000","102,013,000","-10,692,000","-7,179,000",1
125,CARB,"CARBONITE, INC",US,Software & Services,Internet Services & Infrastructure,5.3,6.6,5.1,"132,671,000","41,009,000","48,115,000","33,360,000","-4,601,000","-4,451,000","-4,784,000","132,671,000","-4,696,000","-22,927,000",1
126,CSII,"CARDIOVASCULAR SYSTEMS, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.2,6.9,6.5,"145,009,000","62,174,000","44,461,000","35,736,000","35,736,000","-22,726,000","101,771,000","145,009,000","-22,716,000",,1
127,CATM,CARDTRONICS PLC,US,Software & Services,Data Processing & Outsourced Services,6.7,3.5,6.3,"1,287,176,000","25,049,000","303,247,000","107,374,000","107,374,000","30,033,000","368,238,000","1,287,176,000","15,384,000","-1,248,000",1
128,CDNA,"CAREDX, INC",US,Biotechnology,Biotechnology,2.8,4.2,5.2,"48,834,000","23,752,000","6,562,000",,,"-6,569,000","20,460,000","48,834,000","-9,752,000","-6,136,000",0
129,CTRE,"CARETRUST REIT, INC",US,Real Estate Management & Services,Health Care REITs,3.4,3.0,5.8,"743,508,000","4,663,000","23,629,000",,,,"364,111,000","743,508,000","5,502,000","-6,804,000",0
130,TAST,"CARROLS RESTAURANT GROUP, INC",US,Restaurants,Restaurants,1.5,3.5,4.8,"427,256,000",,"222,519,000",,"2,145,000","6,680,000","107,999,000","427,256,000","2,145,000","-9,944,000",0
131,CWST,"CASELLA WASTE SYSTEMS, INC",US,Commercial Services & Supplies,Environmental & Facilities Services,2.4,6.3,5.1,"620,406,000","1,648,000","125,432,000",,,"1,974,000","-28,495,000","620,406,000","-7,608,000","-664,000",0
132,CASY,"CASEYS GENERAL STORES, INC",US,Retail - Food & Staples,Food Retail,3.0,3.4,7.6,"2,670,549,000","53,563,000","1,582,954,000","388,220,000","69,743,000",,"1,043,130,000","2,670,549,000","47,044,000",,1
133,CASS,"CASS INFORMATION SYSTEMS, INC",US,Software & Services,Data Processing & Outsourced Services,7.3,3.0,3.8,"1,377,018,000","145,346,000","30,769,000",,"7,853,000",,"209,035,000","1,377,018,000","5,833,000","-107,826,000",0
134,CPRX,"CATALYST PHARMACEUTICALS, INC",US,Biotechnology,Biotechnology,2.2,3.3,4.8,"53,666,043","22,227,962",0,,,"-6,237,536","50,536,778","53,666,043","-5,386,237","-6,007,054",0
135,CVCO,"CAVCO INDUSTRIES, INC",US,Real Estate Development & Diversified Activities,Homebuilding,4.0,3.3,5.7,,,"177,293,000","36,666,000","10,901,000","11,521,000",,,"6,988,000",,0
136,CVCO,"PALM HARBOR HOMES, INC",US,Real Estate Development & Diversified Activities,Homebuilding,4.0,3.3,5.7,,,"177,293,000","36,666,000","10,901,000","11,521,000",,,"6,988,000",,0
137,CBOE,"Cboe Global Markets, Inc",US,Diversified Financials,Financial Exchanges & Data,9.0,3.9,5.7,"394,830,000","107,500,000","170,500,000","143,100,000","143,100,000","79,500,000",,"394,830,000","49,400,000","5,200,000",1
138,CDK,"CDK GLOBAL, INC",US,Software & Services,Application Software,4.0,4.3,4.2,"2,672,800,000","464,100,000","537,700,000","221,900,000","221,900,000","89,200,000","631,400,000","2,672,800,000","53,800,000",,0
139,CDW,CDW CORPORATION,US,"Electronic Equipment, Instruments & Components",Technology Distributors,2.7,2.2,7.0,"6,717,900,000","248,200,000","3,116,700,000","524,500,000","524,500,000","161,000,000","1,039,900,000","6,717,900,000","77,800,000","210,600,000",1
140,CLDX,"CELLDEX THERAPEUTICS, INC",US,Biotechnology,Biotechnology,4.5,3.7,4.2,"301,931,000","63,025,000","1,303,000",,,"-35,704,000","260,032,000","301,931,000",,"-9,083,000",0
141,CDEV,"CENTENNIAL RESOURCE DEVELOPMENT, INC",US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,1.5,4.3,6.2,"501,804,305","1,713,777",0,,,"-29,943","5,000,010","501,804,305",,,0
142,CENT,CENTRAL GARDEN & PET COMPANY,US,Household & Personal Products,Household Products,3.9,4.3,4.2,"1,323,099,000","9,826,000","541,249,000","169,339,000","52,228,000","59,403,000","531,722,000","1,323,099,000","32,697,000",,0
143,CERS,CERUS CORPORATION,US,Health Care Equipment & Supplies,Health Care Supplies,6.3,6.8,5.2,"127,938,000","20,791,000","7,632,000","3,369,000","3,369,000","-15,345,000","83,534,000","127,938,000","-16,863,000","-50,227,000",1
144,CEVA,"CEVA, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,6.0,2.9,3.8,"214,218,000","11,315,000","16,508,000","14,880,000","14,880,000","1,822,000","187,272,000","214,218,000","1,800,000","-7,594,000",0
145,CHTR,"CCH I HOLDINGS, LLC",US,Media & Entertainment,Cable & Satellite,8.0,3.7,3.3,"40,524,000,000","1,278,000,000","2,530,000,000",,,"302,000,000",,"40,524,000,000","-188,000,000","1,273,000,000",0
146,CHTR,"CCO HOLDINGS, LLC",US,Telecommunication Services,Cable & Satellite,8.0,3.7,3.3,"40,524,000,000","1,278,000,000","2,530,000,000",,,"302,000,000",,"40,524,000,000","-188,000,000","1,273,000,000",0
147,CHTR,"CHARTER COMMUNICATIONS, INC",US,Media & Entertainment,Cable & Satellite,8.0,3.7,3.3,"40,524,000,000","1,278,000,000","2,530,000,000",,,"302,000,000",,"40,524,000,000","-188,000,000","1,273,000,000",0
148,CHTR,TIME WARNER CABLE ENTERPRISES LLC,US,"Broadcasting, Cable & Satellite",Cable & Satellite,8.0,3.7,3.3,"40,524,000,000","1,278,000,000","2,530,000,000",,,"302,000,000",,"40,524,000,000","-188,000,000","1,273,000,000",0
149,GTLS,"CHART INDUSTRIES, INC",US,Industrial Machinery,Industrial Machinery,3.5,4.4,5.7,"1,177,062,000","159,054,000","193,757,000","52,701,000","-4,584,000","37,000","676,346,000","1,177,062,000","-4,651,000","35,346,000",1
150,CHEF,"THE CHEFS WAREHOUSE, INC",US,Retail - Food & Staples,Food Distributors,1.9,5.0,6.3,"570,539,000","2,745,000","260,836,000","65,958,000","1,701,000","5,360,000","189,805,000","570,539,000","993,000","291,000",1
151,CCXI,ChemoCentryx Inc,US,Biotechnology,Biotechnology,7.3,4.3,4.6,"67,365,000","13,420,000",0,,,"-15,329,000","59,833,000","67,365,000","-15,243,000","597,000",1
152,CMRX,"CHIMERIX, INC",US,Biotechnology,Biotechnology,6.7,4.6,5.2,"324,238,000","27,503,000","1,228,000",,,"-26,632,000","313,701,000","324,238,000","-26,260,000","6,898,000",1
153,CHRW,"CH ROBINSON WORLDWIDE, INC",US,Air Freight & Logistics,Air Freight & Logistics,9.3,5.5,5.8,"3,162,245,000","179,406,000","3,073,943,000",,"190,180,000","198,952,000","1,191,806,000","3,162,245,000","118,963,000","11,177,000",1
154,CINF,CINCINNATI FINANCIAL CORPORATION,US,Property & Casualty Insurance,Property & Casualty Insurance,3.6,3.5,5.7,"19,447,000,000","613,000,000","1,364,000,000",,"265,000,000",,"6,735,000,000","19,447,000,000","188,000,000","69,000,000",0
155,CTAS,CINTAS CORPORATION,US,Commercial Services & Supplies,Diversified Support Services,7.1,4.2,6.9,"4,231,210,000","315,116,000","1,190,539,000","517,853,000","177,124,000","192,952,000","1,950,106,000","4,231,210,000","117,341,000",,1
156,CRUS,"CIRRUS LOGIC, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,3.6,6.5,6.7,"1,181,883,000","168,793,000","231,999,000","115,254,000","21,113,000","22,192,000","859,483,000","1,181,883,000","14,012,000",,1
157,CSCO,"BROADSOFT, INC",US,"Technology Hardware, Storage & Peripherals",Application Software,5.5,6.0,4.5,"112,642,000,000","6,314,000,000","12,000,000,000","7,721,000,000","7,721,000,000","2,984,000,000","60,871,000,000","112,642,000,000","2,349,000,000",,1
158,CSCO,"CISCO SYSTEMS, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,5.5,6.0,4.5,"112,642,000,000","6,314,000,000","12,000,000,000","7,721,000,000","7,721,000,000","2,984,000,000","60,871,000,000","112,642,000,000","2,349,000,000",,1
159,CTRN,"CITI TRENDS, INC",US,Retail - Consumer Discretionary,Apparel Retail,3.0,2.8,6.5,"314,508,000","49,253,000","193,672,000",,"12,954,000","12,867,000","212,234,000","314,508,000",,,0
160,CTXS,"CITRIX SYSTEMS, INC",US,Software & Services,Application Software,7.0,5.1,4.7,"5,518,689,000","454,163,000","658,773,000","558,962,000","86,845,000","95,252,000",,"5,518,689,000","83,463,000","144,788,000",1
161,CHCO,CITY HOLDING COMPANY,US,Banks,Regional Banks,2.4,2.8,5.6,277,277,0,,"17,568,000","-3,071","-35,273",277,"11,702,000","105,052,000",0
162,CLNE,CLEAN ENERGY FUELS CORP,US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,7.0,5.9,5.7,"980,646,000","87,239,000","95,782,000",,,"-4,029,000","335,119,000","980,646,000",,,1
163,CLFD,"Clearfield, Inc",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.0,2.3,5.3,"61,565,252","20,550,592","16,947,187","7,280,449","2,182,666","2,143,497","55,148,076","61,565,252","1,492,979",,0
164,CLVS,"CLOVIS ONCOLOGY, INC",US,Biotechnology,Biotechnology,4.4,3.1,5.4,"644,574,000","220,373,000",0,,,"-84,951,000","232,663,000","644,574,000","-83,400,000","-58,383,000",0
165,CME,CME GROUP INC,US,Diversified Financials,Financial Exchanges & Data,8.0,4.2,4.7,"68,768,200,000","1,146,000,000","934,200,000",,,"573,900,000","20,841,400,000","68,768,200,000","367,800,000","-546,600,000",1
166,COKE,"COCA-COLA CONSOLIDATED, INC",US,Beverages,Soft Drinks,2.3,4.6,2.9,"1,846,565,000","55,498,000","625,456,000","243,898,000","243,898,000","12,401,000","243,056,000","1,846,565,000","-10,041,000","-22,898,000",0
167,CDXS,Codexis Inc,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,5.9,4.5,5.4,"39,188,000","22,163,000","7,996,000",,"-6,963,000","-6,981,000","16,113,000","39,188,000","-6,974,000","-1,110,000",0
168,CCOI,"COGENT COMMUNICATIONS HOLDINGS, INC",US,Telecommunication Services,Alternative Carriers,7.9,5.5,4.9,"665,096,000","196,050,000","108,291,000",,,"15,675,000","-18,382,000","665,096,000",,"-7,541,000",1
169,CGNX,COGNEX CORPORATION,US,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4.5,6.3,5.1,,,"96,205,000","75,237,000","17,588,000","16,344,000",,,"14,885,000","27,939,000",1
170,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,US,Software & Services,IT Consulting & Other Services,5.7,4.3,5.5,"12,735,900,000","1,524,000,000","3,202,000,000",,"589,000,000","554,000,000","9,612,300,000","12,735,900,000","441,000,000","-601,000,000",1
171,COHR,"COHERENT, INC",US,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4.0,6.2,5.2,"985,356,000","142,343,000","199,882,000","88,599,000","24,224,000",,"810,239,000","985,356,000","17,781,000",,1
172,CHRS,"COHERUS BIOSCIENCES, INC",US,Biotechnology,Biotechnology,5.1,3.9,5.3,"226,236,000","179,558,000","12,359,000",,,"-64,352,000","-66,006,000","226,236,000","-65,388,000","21,332,000",0
173,COHU,"COHU, INC",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3.9,3.4,5.4,"352,814,000","104,945,000","65,778,000","19,282,000","-1,469,000","-1,512,000","236,966,000","352,814,000","-1,691,000","-10,425,000",0
174,COLL,"Collegium Pharmaceutical, Inc",US,Pharmaceuticals,Pharmaceuticals,2.2,4.4,5.8,"136,343,000","134,730,000",,,,"-15,587,000","121,736,000","136,343,000","-15,653,000",,1
175,COLB,"COLUMBIA BANKING SYSTEM, INC",US,Banks,Regional Banks,0.0,3.2,6.5,"9,035,932,000","188,931,000",,,"30,488,000",,"1,260,788,000","9,035,932,000","21,259,000","13,629,000",0
176,CMCO,COLUMBUS MCKINNON CORPORATION,US,Industrial Machinery,Industrial Machinery,4.0,4.5,6.1,"772,851,000","51,603,000","155,088,000","48,393,000","8,856,000","11,809,000",,"772,851,000","5,889,000",,1
177,COMM,"COMMSCOPE HOLDING COMPANY, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.8,5.4,5.8,"7,672,907,000","688,368,000","1,143,979,000","447,091,000","447,091,000","90,723,000","1,288,454,000","7,672,907,000","12,580,000","125,484,000",1
178,COMM,"COMMSCOPE, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.8,5.4,5.8,"7,672,907,000","688,368,000","1,143,979,000","447,091,000","447,091,000","90,723,000","1,288,454,000","7,672,907,000","12,580,000","125,484,000",1
179,CTBI,"COMMUNITY TRUST BANCORP, INC",US,Banks,Regional Banks,2.0,3.6,6.4,"3,879,838,000","162,389,000",,,"16,288,000",,"485,637,000","3,879,838,000","11,602,000",,1
180,CVLT,"COMMVAULT SYSTEMS, INC",US,Software & Services,Systems Software,3.9,4.8,6.1,"714,573,000","288,107,000","159,565,000","138,768,000","9,250,000","9,299,000","396,268,000","714,573,000","5,794,000",,1
181,CPSI,"COMPUTER PROGRAMS AND SYSTEMS, INC",US,Health Care Equipment & Supplies,Health Care Technology,6.7,4.9,5.6,"360,276,000","11,694,000","69,643,000","36,089,000","-693,000","776,000","163,288,000","360,276,000","-1,663,000","-13,257,000",1
182,CMTL,COMTECH TELECOMMUNICATIONS CORP,US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.4,3.4,4.5,"462,170,000","163,466,000","124,187,000","51,391,000","51,391,000","-13,397,000","397,872,000","462,170,000","-14,355,000",,0
183,CNMD,CONMED CORPORATION,US,Health Care Equipment & Supplies,Health Care Equipment,7.7,6.6,4.3,"1,342,783,000","19,894,000","181,201,000","97,740,000","-3,233,000","3,539,000","582,289,000","1,342,783,000","-2,265,000","-52,610,000",1
184,CNSL,"CONSOLIDATED COMMUNICATIONS HOLDINGS, INC",US,Telecommunication Services,Integrated Telecommunication Services,7.5,5.5,5.2,"2,126,081,000","24,461,000","188,846,000",,,"24,310,000","235,193,000","2,126,081,000","7,849,000",,0
185,CPRT,"COPART, INC",US,Commercial Services & Supplies,Diversified Support Services,7.4,4.7,6.5,"1,604,364,000","141,416,000","347,246,000","157,647,000","157,647,000","121,948,000","731,400,000","1,604,364,000","74,624,000",,1
186,CORT,CORCEPT THERAPEUTICS INCORPORATED,US,Pharmaceuticals,Pharmaceuticals,2.2,4.4,5.4,"52,912,000","40,744,000","16,061,000","15,658,000","-19,000","592,000","20,168,000","52,912,000","-19,000","309,000",1
187,CRVL,CORVEL CORPORATION,US,Health Care Providers & Services,Health Care Services,6.7,6.7,3.8,"220,269,000","32,779,000","128,294,000","26,445,000","26,445,000",,"131,948,000","220,269,000","6,667,000",,1
188,CSGP,"COSTAR GROUP, INC",US,Professional Services,Research & Consulting Services,8.0,4.4,4.4,"2,106,013,000","461,720,000","199,739,000","156,839,000","27,876,000","30,301,000","1,565,476,000","2,106,013,000","16,721,000","39,902,000",0
189,COST,COSTCO WHOLESALE CORPORATION,US,Retail - Food & Staples,Hypermarkets & Super Centers,4.1,3.7,5.7,"32,388,000,000","3,633,000,000","26,769,000,000",,,"858,000,000","11,000,000,000","32,388,000,000","545,000,000",,0
190,COUP,COUPA SOFTWARE INCORPORATED,US,Software & Services,Application Software,5.3,5.5,4.8,"139,926,000","92,348,000","29,183,000","17,165,000","17,165,000","-12,064,000","-106,239,000","139,926,000",,"-12,834,000",1
191,CBRL,"Cracker Barrel Old Country Store, Inc",US,Restaurants,Restaurants,2.1,3.6,5.2,"1,476,799,000","171,643,000","700,136,000",,,"67,028,000","554,869,000","1,476,799,000","49,169,000",,0
192,CRAI,"CRA INTERNATIONAL, INC",US,Professional Services,Research & Consulting Services,6.7,2.8,6.1,"313,717,000","38,139,000","80,912,000","25,397,000","4,185,000","4,326,000","211,756,000","313,717,000",,"-15,558,000",0
193,CACC,CREDIT ACCEPTANCE CORPORATION,US,Consumer Finance,Consumer Finance,6.7,4.5,4.3,"3,704,000,000","9,100,000","227,900,000",,"118,400,000",,"991,400,000","3,704,000,000","74,400,000","2,800,000",0
194,CROX,"CROCS, INC",US,"Textiles, Apparel & Luxury Goods",Footwear,3.0,4.6,6.4,"655,486,000","89,080,000","279,140,000","129,366,000","129,366,000","14,243,000","259,900,000","655,486,000","10,146,000","-54,261,000",1
195,CCRN,"CROSS COUNTRY HEALTHCARE, INC",US,Health Care Providers & Services,Health Care Services,7.0,6.2,6.1,"360,040,000","1,876,000","196,583,000","51,046,000","19,983,000","5,165,000","160,297,000","360,040,000","19,022,000","-577,000",1
196,CSGS,"CSG SYSTEMS INTERNATIONAL, INC",US,Software & Services,Data Processing & Outsourced Services,6.7,4.0,6.2,"988,420,000","289,733,000","186,226,000",,,"41,291,000","223,183,000","988,420,000","21,504,000","157,102,000",1
197,CCLP,CSI COMPRESSCO LP,US,Energy Equipment & Services,Oil & Gas Equipment & Services,5.6,2.9,5.8,"834,100,000","10,290,000","81,692,000",,,,"213,839,000","834,100,000",,"-330,000",0
198,CSWI,"CSW INDUSTRIALS, INC",US,Building Products,Building Products,4.2,3.6,6.0,"392,260,000","25,987,000","76,300,000","34,600,000","34,600,000","6,797,000","258,010,000","392,260,000","1,800,000",,0
199,CSX,CSX Corporation,US,Road & Rail Transport,Railroads,5.4,3.3,5.6,"34,610,000,000","731,000,000","2,618,000,000",,,"704,000,000",,"34,610,000,000","356,000,000","103,000,000",1
200,CRIS,"CURIS, INC",US,Biotechnology,Biotechnology,6.4,4.5,5.6,"85,319,189","14,692,000","1,726,000",,,"-8,807,000","55,942,469","85,319,189","-9,442,000","-18,399,000",1
201,CUTR,"CUTERA, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.4,5.6,5.1,"74,694,000","6,265,000","22,423,000","12,474,000","-2,027,000","-2,171,000","49,589,000","74,694,000","-2,051,000","-4,603,000",1
202,CVBF,CVB FINANCIAL CORP,US,Banks,Regional Banks,0.0,3.2,6.1,"7,920,836,000","239,586,000",,,,,"971,862,000","7,920,836,000","23,391,000","133,489,000",0
203,CONE,CYRUSONE INC,US,Software & Services,Specialized REITs,4.7,3.7,7.4,"2,483,500,000","87,700,000","117,800,000",,,"17,900,000","1,042,100,000","2,483,500,000","5,600,000","73,400,000",1
204,CYTK,"CYTOKINETICS, INCORPORATED",US,Biotechnology,Biotechnology,7.1,3.8,4.4,"113,218,000","42,269,000","8,421,000",,,"-11,954,000","57,906,000","113,218,000","-12,455,000","-22,807,000",0
205,PLAY,"DAVE & BUSTERS ENTERTAINMENT, INC",US,Restaurants,Restaurants,1.8,4.0,7.2,"1,003,701,000","25,495,000","261,987,000",,"49,064,000","51,174,000","346,338,000","1,003,701,000","31,161,000","2,628,000",0
206,DFRG,"DEL FRISCOS RESTAURANT GROUP, INC",US,Banks,Restaurants,3.2,3.6,5.0,"337,942,000","2,053,000","81,194,000",,"7,848,000","7,879,000","233,903,000","337,942,000","5,411,000","-3,123,000",0
207,XRAY,DENTSPLY SIRONA INC,US,Health Care Equipment & Supplies,Health Care Supplies,8.8,6.6,4.5,"11,682,400,000","323,100,000",0,"418,900,000","67,400,000","72,700,000","8,381,800,000","11,682,400,000","125,000,000","38,500,000",1
208,DERM,"DERMIRA, INC",US,Pharmaceuticals,Pharmaceuticals,5.3,4.8,4.7,"196,802,000","92,371,000",,,,"-28,755,000","159,866,000","196,802,000","-28,436,000","-14,871,000",1
209,DXCM,"DEXCOM, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.4,5.8,6.1,"299,400,000","77,900,000","116,200,000","75,100,000","75,100,000","-19,200,000",,"299,400,000","-19,200,000","-8,200,000",1
210,FANG,"DIAMONDBACK ENERGY, INC",US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,2.3,4.4,5.0,"2,942,959,000","4,663,000",,,"-35,627,000","-23,104,000","2,107,912,000","2,942,959,000","-32,912,000","4,124,000",0
211,FANG,Energen Corporation,US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,2.3,4.4,5.0,"2,942,959,000","4,663,000",,,"-35,627,000","-23,104,000","2,107,912,000","2,942,959,000","-32,912,000","4,124,000",0
212,DHIL,"DIAMOND HILL INVESTMENT GROUP, INC",US,Asset Management & Custody Banks,Asset Management & Custody Banks,6.7,3.9,6.3,"143,418,748","49,337,654","30,457,490",,"14,451,655","13,704,433","116,980,822","143,418,748","9,265,663","-8,137,123",1
213,DGII,DIGI INTERNATIONAL INC,US,"Technology Hardware, Storage & Peripherals",Communications Equipment,3.1,3.5,6.2,"323,549,000","67,270,000","50,162,000","24,742,000","24,742,000","3,653,000","290,406,000","323,549,000","2,137,000",,1
214,DCOM,"DIME COMMUNITY BANCSHARES, INC",US,Banks,Regional Banks,0.0,3.9,4.4,"5,517,359,000","192,917,000",,,"86,524,000",,"539,907,000","5,517,359,000","50,037,000","128,763,000",0
215,DIOD,DIODES INCORPORATED,US,Semiconductors & Semiconductor Equipment,Semiconductors,4.0,3.3,4.8,"1,579,933,000","237,006,000","222,738,000","64,220,000","64,220,000","1,455,000","798,569,000","1,579,933,000","-1,733,000","18,571,000",0
216,DISH,DISH DBS Corporation,US,"Broadcasting, Cable & Satellite",Cable & Satellite,7.8,3.2,2.5,"22,009,374,000","709,856,000","3,827,474,000",,,"583,418,000","3,123,034,000","22,009,374,000",,,0
217,DISH,DISH NETWORK CORPORATION,US,Media & Entertainment,Cable & Satellite,7.8,3.2,2.5,"22,009,374,000","709,856,000","3,827,474,000",,,"583,418,000","3,123,034,000","22,009,374,000",,,0
218,BOOM,DMC GLOBAL INC,US,Energy Equipment & Services,Oil & Gas Equipment & Services,6.8,4.9,6.0,"183,992,000","5,595,000","40,532,000","10,385,000","10,385,000","-85,000","122,312,000","183,992,000","-413,000","-696,000",1
219,DLTR,"DOLLAR TREE, INC",US,Retail - Consumer Discretionary,General Merchandise Stores,3.4,4.0,6.0,"15,901,200,000","736,100,000","5,085,800,000","1,554,600,000","331,600,000","418,700,000","4,406,900,000","15,901,200,000","232,700,000","193,600,000",1
220,DORM,"DORMAN PRODUCTS, INC",US,Auto Components,Auto Parts & Equipment,2.8,4.4,5.3,"631,209,000","86,978,000","208,148,000","80,594,000","80,594,000","38,931,000","533,150,000","631,209,000","24,671,000","8,319,000",1
221,DLTH,DULUTH HOLDINGS INC,US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,1.1,3.2,4.4,"120,620,000",,"68,632,000","39,691,000","39,691,000","5,341,000","88,805,000","120,620,000","3,241,000","-7,570,000",0
222,DXPE,"DXP ENTERPRISES, INC",US,Trading Companies & Distributors,Trading Companies & Distributors,3.2,7.9,3.2,"682,667,000","622,000","253,561,000","68,818,000","68,818,000","-2,002,000","192,410,000","682,667,000","-5,112,000","-1,071,000",0
223,DVAX,DYNAVAX TECHNOLOGIES CORPORATION,US,Biotechnology,Biotechnology,5.1,4.2,5.7,"189,644,000","38,858,000","942,000",,,"-27,294,000","164,431,000","189,644,000","-27,023,000","-5,954,000",0
224,EGBN,"EAGLE BANCORP, INC",US,Banks,Regional Banks,0.0,2.4,5.7,"6,131,222,000","201,897,000",,,"37,735,000",,"762,496,000","6,131,222,000","23,322,000","-96,466,000",0
225,EGRX,"EAGLE PHARMACEUTICALS, INC",US,Biotechnology,Biotechnology,5.3,4.1,5.9,"128,701,000","78,287,000","29,591,000",,,"-897,000","92,316,000","128,701,000","-896,000","-796,000",0
226,EWBC,"EAST WEST BANCORP, INC",US,Banks,Regional Banks,2.2,3.2,5.0,"33,109,169,000","2,265,297,000",,,,,"3,216,781,000","33,109,169,000","107,516,000","904,410,000",0
227,EBIX,"EBIX, INC",US,Software & Services,Application Software,4.2,3.0,2.6,"697,400,000","69,020,000","71,066,000","51,464,000","24,101,000","24,763,000","417,007,000","697,400,000","22,159,000","11,841,000",0
228,SATS,ECHOSTAR CORPORATION,US,Telecommunication Services,Alternative Carriers,6.7,5.5,2.0,"7,336,235,000","898,816,000","816,359,000",,,"86,465,000","3,776,216,000","7,336,235,000","49,155,000","-25,424,000",0
229,EDIT,"EDITAS MEDICINE, INC",US,Biotechnology,Biotechnology,6.4,4.4,5.1,"248,808,000","229,204,000","805,000",,,"-17,839,000","201,363,000","248,808,000","-17,745,000","86,024,000",1
230,EHTH,"EHEALTH, INC",US,Multi-Line Insurance & Brokerage,Insurance Brokers,3.7,3.6,5.7,"125,074,000","66,689,000","73,844,000",,,"23,683,000","96,000,000","125,074,000","18,034,000","3,979,000",0
231,EA,ELECTRONIC ARTS INC,US,Media & Entertainment,Interactive Home Entertainment,8.0,7.8,5.1,"7,050,000,000","2,493,000,000","1,308,000,000","1,082,000,000","526,000,000","536,000,000","3,396,000,000","7,050,000,000","899,000,000",,1
232,LOCO,"EL POLLO LOCO HOLDINGS, INC",US,Restaurants,Restaurants,1.6,4.9,5.7,"466,053,000","8,864,000","94,354,000",,,"10,294,000","250,058,000","466,053,000","5,443,000","2,763,000",0
233,ENTA,Enanta Pharmaceuticals Inc,US,Biotechnology,Biotechnology,3.1,3.6,5.6,"281,595,000","56,360,000","13,004,000",,,"-565,000","266,415,000","281,595,000","-1,645,000",,0
234,ECPG,"ENCORE CAPITAL GROUP, INC",US,Consumer Finance,Consumer Finance,8.0,2.5,6.6,"3,823,619,000","144,613,000","289,017,000",,"39,937,000","83,504,000","610,306,000","3,823,619,000","25,694,000",,1
235,WIRE,ENCORE WIRE CORPORATION,US,Electrical Equipment,Electrical Components & Equipment,2.6,7.6,4.0,"619,844,000","78,561,000","225,544,000","30,143,000","12,837,000","12,834,000","547,294,000","619,844,000","8,599,000","-591,000",0
